2026-04-21 15:09:46 | DEBUG    | WhatsAppWatcher | --- WhatsApp poll cycle ---
2026-04-21 15:09:46 | DEBUG    | WhatsAppWatcher | No unread chats found.
2026-04-21 15:09:46 | DEBUG    | WhatsAppWatcher | Sleeping 30s before next poll.
2026-04-21 15:10:16 | DEBUG    | WhatsAppWatcher | --- WhatsApp poll cycle ---
2026-04-21 15:10:16 | DEBUG    | WhatsAppWatcher | No unread chats found.
2026-04-21 15:10:16 | DEBUG    | WhatsAppWatcher | Sleeping 30s before next poll.
2026-04-21 15:10:46 | DEBUG    | WhatsAppWatcher | --- WhatsApp poll cycle ---
2026-04-21 15:10:46 | DEBUG    | WhatsAppWatcher | No unread chats found.
2026-04-21 15:10:46 | DEBUG    | WhatsAppWatcher | Sleeping 30s before next poll.
2026-04-21 15:11:16 | DEBUG    | WhatsAppWatcher | --- WhatsApp poll cycle ---
2026-04-21 15:11:16 | DEBUG    | WhatsAppWatcher | No unread chats found.
2026-04-21 15:11:16 | DEBUG    | WhatsAppWatcher | Sleeping 30s before next poll.
2026-04-21 15:11:46 | DEBUG    | WhatsAppWatcher | --- WhatsApp poll cycle ---
2026-04-21 15:11:46 | DEBUG    | WhatsAppWatcher | No unread chats found.
2026-04-21 15:11:46 | DEBUG    | WhatsAppWatcher | Sleeping 30s before next poll.
2026-04-21 15:12:16 | DEBUG    | WhatsAppWatcher | --- WhatsApp poll cycle ---
2026-04-21 15:12:16 | DEBUG    | WhatsAppWatcher | No unread chats found.
2026-04-21 15:12:16 | DEBUG    | WhatsAppWatcher | Sleeping 30s before next poll.
2026-04-21 15:12:46 | DEBUG    | WhatsAppWatcher | --- WhatsApp poll cycle ---
2026-04-21 15:12:46 | DEBUG    | WhatsAppWatcher | No unread chats found.
2026-04-21 15:12:46 | DEBUG    | WhatsAppWatcher | Sleeping 30s before next poll.
2026-04-21 15:13:16 | DEBUG    | WhatsAppWatcher | --- WhatsApp poll cycle ---
2026-04-21 15:13:16 | DEBUG    | WhatsAppWatcher | No unread chats found.
2026-04-21 15:13:16 | DEBUG    | WhatsAppWatcher | Sleeping 30s before next poll.
2026-04-21 15:13:46 | DEBUG    | WhatsAppWatcher | --- WhatsApp poll cycle ---
2026-04-21 15:13:46 | DEBUG    | WhatsAppWatcher | No unread chats found.
2026-04-21 15:13:46 | DEBUG    | WhatsAppWatcher | Sleeping 30s before next poll.
2026-04-21 15:14:16 | DEBUG    | WhatsAppWatcher | --- WhatsApp poll cycle ---
2026-04-21 15:14:16 | DEBUG    | WhatsAppWatcher | No unread chats found.
2026-04-21 15:14:16 | DEBUG    | WhatsAppWatcher | Sleeping 30s before next poll.
2026-04-21 15:14:46 | DEBUG    | WhatsAppWatcher | --- WhatsApp poll cycle ---
2026-04-21 15:14:46 | DEBUG    | WhatsAppWatcher | No unread chats found.
2026-04-21 15:14:46 | DEBUG    | WhatsAppWatcher | Sleeping 30s before next poll.
